rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
282,7700,Real Estate,,61.0,Norway,,,Real Estate,Norway,,True,U,M,6/23/1961 0:00,Tollefsen,Ivar,,4/4/2023 5:01,,,1961.0,6.0,23.0,120.27,2.2,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946
290,7600,Energy,,54.0,China,,,Energy,China,,True,D,M,7/24/1968 0:00,Cao,Renxian,,4/4/2023 5:01,,,1968.0,7.0,24.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
290,7600,Healthcare,,89.0,India,,,Healthcare,India,,True,U,M,9/19/1933 0:00,Chudgar,Hasmukh,,4/4/2023 5:01,,,1933.0,9.0,19.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
290,7600,Manufacturing,,67.0,United Kingdom,,,Manufacturing,United Kingdom,,True,U,M,12/4/1955 0:00,Currie,Andrew,,4/4/2023 5:01,,,1955.0,12.0,4.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
290,7600,Technology,,41.0,United States,,,Technology,United States,,True,D,M,8/21/1981 0:00,Gebbia,Joe,,4/4/2023 5:01,Texas,South,1981.0,8.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
290,7600,Real Estate,,64.0,Singapore,,,Real Estate,Singapore,,False,Split Family Fortune,M,1/1/1959 0:00,Ng,Philip,,4/4/2023 5:01,,,1959.0,1.0,1.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
290,7600,Manufacturing,,66.0,United Kingdom,,,Manufacturing,United Kingdom,,True,U,M,3/7/1957 0:00,Reece,John,,4/4/2023 5:01,,,1957.0,3.0,7.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
290,7600,Real Estate,,85.0,United States,,,Real Estate,United States,,False,U,M,3/28/1938 0:00,Stern,Leonard,,4/4/2023 5:01,New York,Northeast,1938.0,3.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
290,7600,Technology,,59.0,Hong Kong,,,Technology,Canada,,True,D,M,1/19/1964 0:00,Tsai,Joseph,,4/4/2023 5:01,,,1964.0,1.0,19.0,,,,,,,,,,,
290,7600,Healthcare,,62.0,China,,,Healthcare,China,,True,D,F,1/1/1961 0:00,Zhong,Huijuan,,4/4/2023 5:01,,,1961.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
299,7500,Sports,,80.0,United States,,,Sports,United States,,True,U,M,9/27/1942 0:00,Blank,Arthur,,4/4/2023 5:01,Georgia,South,1942.0,9.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299,7500,Fashion & Retail,,85.0,United States,,,Fashion & Retail,United States,,False,R,M,2/3/1938 0:00,Butt,Charles,,4/4/2023 5:01,Texas,South,1938.0,2.0,3.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299,7500,Fashion & Retail,,59.0,China,,,Fashion & Retail,China,,True,D,M,1/1/1964 0:00,Ding,Shijia,,4/4/2023 5:01,,,1964.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
299,7500,Finance & Investments,,68.0,United States,,,Finance & Investments,United States,,True,U,M,9/28/1954 0:00,Jones,Paul Tudor,,4/4/2023 5:01,Florida,South,1954.0,9.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299,7500,Finance & Investments,,79.0,United States,,,Finance & Investments,United States,,True,D,M,1/6/1944 0:00,Kravis,Henry,,4/4/2023 5:01,New York,Northeast,1944.0,1.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
299,7500,Food & Beverage,,52.0,Singapore,,,Food & Beverage,Singapore,,True,U,M,7/1/1970 0:00,Zhang,Yong,,4/4/2023 5:01,,,1970.0,7.0,1.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
305,7400,Technology,,80.0,United States,,,Technology,United States,,True,U,M,1/6/1943 4:00,Goodnight,James,,4/4/2023 9:01,North Carolina,South,1943.0,1.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
305,7400,Manufacturing,,70.0,United Kingdom,,,Manufacturing,Indonesia,,False,U,M,8/11/1952 0:00,Lohia,Sri Prakash,,4/4/2023 5:01,,,1952.0,8.0,11.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
305,7400,Fashion & Retail,,59.0,China,,,Fashion & Retail,China,,True,D,M,1/1/1964 0:00,Ma,Jianrong,,4/4/2023 5:01,,,1964.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
305,7400,Real Estate,,71.0,Singapore,,,Real Estate,Singapore,,False,Split Family Fortune,M,1/1/1952 0:00,Ng,Robert,,4/4/2023 5:01,,,1952.0,1.0,1.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
305,7400,Manufacturing,,72.0,United States,,,Manufacturing,United States,,True,D,M,3/31/1951 0:00,Rales,Steven,,4/4/2023 5:01,California,West,1951.0,3.0,31.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
305,7400,Construction & Engineering,,62.0,Egypt,,,Construction & Engineering,Egypt,,False,D,M,1/19/1961 0:00,Sawiris,Nassef,,4/4/2023 5:01,,,1961.0,1.0,19.0,288.57,9.2,303175127598.0,35.2,106.3,71.8,12.5,44.4,100388073.0,26.820553,30.802498
305,7400,Food & Beverage,,81.0,United States,,,Food & Beverage,United States,,True,U,M,11/30/1941 0:00,Stine,Harry,,4/4/2023 5:01,Iowa,Midwest,1941.0,11.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
312,7300,Manufacturing,,91.0,India,,,Manufacturing,India,,False,U,M,6/1/1931 0:00,Bangur,Benu Gopal,,4/4/2023 5:01,,,1931.0,6.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
312,7300,Metals & Mining,,59.0,Russia,,,Metals & Mining,Russia,,True,U,M,12/5/1963 0:00,Makhmudov,Iskander,,4/4/2023 5:01,,,1963.0,12.0,5.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
312,7300,Fashion & Retail,,50.0,Denmark,,,Fashion & Retail,Denmark,,False,D,M,11/4/1972 0:00,Povlsen,Anders Holch,,4/4/2023 5:01,,,1972.0,11.0,4.0,110.35,0.8,348078018464.0,80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
312,7300,Logistics,,63.0,Philippines,,,Logistics,Philippines,,False,U,M,3/3/1960 0:00,Razon Jr.,Enrique,,4/4/2023 5:01,,,1960.0,3.0,3.0,129.61,2.5,376795508680.0,35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
312,7300,Technology,,55.0,China,,,Technology,Hong Kong,,True,D,F,6/3/1967 0:00,Wang,Laichun,,4/4/2023 5:01,,,1967.0,6.0,3.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
317,7200,Finance & Investments,,65.0,United States,,,Finance & Investments,United States,,True,N,M,11/25/1957 0:00,Dantchik,Arthur,,4/4/2023 5:01,Pennsylvania,Northeast,1957.0,11.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
317,7200,Technology,,72.0,Taiwan,,,Technology,Taiwan,,True,U,M,10/18/1950 0:00,Gou,Terry,,4/4/2023 5:01,,,1950.0,10.0,18.0,,,,,,,,,,,
317,7200,Real Estate,,68.0,United States,,,Real Estate,United States,,True,U,M,12/10/1954 0:00,Greene,Jeff,,4/4/2023 5:01,Florida,South,1954.0,12.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
317,7200,Finance & Investments,,79.0,United States,,,Finance & Investments,United States,,True,U,M,6/13/1943 0:00,Hankey,Don,,4/4/2023 5:01,California,West,1943.0,6.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
317,7200,Energy,,78.0,United States,,,Energy,United States,,True,D,M,10/19/1944 0:00,Kinder,Richard,,4/4/2023 5:01,Texas,South,1944.0,10.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
317,7200,Finance & Investments,,41.0,United Arab Emirates,,,Finance & Investments,Switzerland,,True,D,M,8/15/1981 0:00,Pousaz,Guillaume,,4/4/2023 5:01,,,1981.0,8.0,15.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
317,7200,Fashion & Retail,,61.0,Japan,,,Fashion & Retail,Japan,,False,U,M,7/12/1961 0:00,Takahara,Takahisa,,4/4/2023 5:01,,,1961.0,7.0,12.0,105.48,0.5,5081769542380.0,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
317,7200,Food & Beverage,,77.0,China,,,Food & Beverage,China,,True,D,M,10/1/1945 0:00,Zong,Qinghou,,4/4/2023 5:01,,,1945.0,10.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
325,7100,Technology,,79.0,United States,,,Technology,United States,,True,U,F,8/1/1943 0:00,Faulkner,Judy,,4/4/2023 5:01,Wisconsin,Midwest,1943.0,8.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
325,7100,Gambling & Casinos,,76.0,Austria,,,Gambling & Casinos,Austria,,True,U,M,1/3/1947 0:00,Graf,Johann,,4/4/2023 5:01,,,1947.0,1.0,3.0,118.06,1.5,446314739528.0,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
325,7100,Service,,61.0,United States,,,Service,United States,,False,D,F,11/16/1961 0:00,Gustavson,Tamara,,4/4/2023 5:01,Kentucky,South,1961.0,11.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
325,7100,Manufacturing,,66.0,China,,,Manufacturing,China,,True,D,M,12/14/1956 0:00,Liang,Wengen,,4/4/2023 5:01,,,1956.0,12.0,14.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
325,7100,Healthcare,,72.0,Switzerland,,,Healthcare,Sweden,,False,D,M,10/30/1950 0:00,Paulsen,Frederik,,4/4/2023 5:01,,,1950.0,10.0,30.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
325,7100,Finance & Investments,,94.0,Singapore,,,Finance & Investments,Singapore,,False,D,M,1/10/1929 0:00,Wee,Cho Yaw,,4/4/2023 5:01,,,1929.0,1.0,10.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
325,7100,Manufacturing,,71.0,China,,,Manufacturing,China,,True,U,M,1/1/1952 0:00,Zhang,Hejun,,4/4/2023 5:01,,,1952.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
332,7000,Technology,,58.0,United States,,,Technology,United States,,True,D,M,9/25/1964 0:00,Benioff,Marc,,4/4/2023 5:01,California,West,1964.0,9.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332,7000,Media & Entertainment,,37.0,United Kingdom,,,Media & Entertainment,Israel,,True,D,M,5/27/1985 0:00,Bukhman,Dmitri,,4/4/2023 5:01,,,1985.0,5.0,27.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
332,7000,Media & Entertainment,,41.0,United Kingdom,,,Media & Entertainment,Israel,,True,D,M,3/29/1982 0:00,Bukhman,Igor,,4/4/2023 5:01,,,1982.0,3.0,29.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
332,7000,Technology,,77.0,United States,,,Technology,United States,,True,U,M,7/23/1945 0:00,Dangermond,Jack,,4/4/2023 5:01,California,West,1945.0,7.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332,7000,Manufacturing,,80.0,India,,,Manufacturing,India,,False,D,M,10/24/1942 0:00,Dani,Ashwin,,4/4/2023 5:01,,,1942.0,10.0,24.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
332,7000,Fashion & Retail,,83.0,United States,,,Fashion & Retail,United States,,True,U,M,10/14/1939 0:00,Lauren,Ralph,,4/4/2023 5:01,New York,Northeast,1939.0,10.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332,7000,Real Estate,,74.0,Hong Kong,,,Real Estate,Hong Kong,,False,U,M,8/2/1948 0:00,Law,Kar Po,,4/4/2023 5:01,,,1948.0,8.0,2.0,,,,,,,,,,,
332,7000,Diversified,,55.0,India,,,Diversified,India,,False,N,F,6/6/1967 0:00,Mistry,Rohiqa Cyrus,,4/4/2023 5:01,,,1967.0,6.0,6.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
332,7000,Diversified,,58.0,India,,,Diversified,Ireland,,False,N,M,9/6/1964 0:00,Mistry,Shapoor,,4/4/2023 5:01,,,1964.0,9.0,6.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
332,7000,Food & Beverage,,69.0,United States,,,Food & Beverage,United States,,True,D,M,12/29/1953 0:00,Reyes,J. Christopher,,4/4/2023 5:01,Florida,South,1953.0,12.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332,7000,Food & Beverage,,67.0,United States,,,Food & Beverage,United States,,True,D,M,9/16/1955 0:00,Reyes,Jude,,4/4/2023 5:01,Florida,South,1955.0,9.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
332,7000,Food & Beverage,,71.0,United States,,,Food & Beverage,United States,,True,U,M,2/26/1952 0:00,Vultaggio,Don,,4/4/2023 5:01,New York,Northeast,1952.0,2.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
344,6900,Diversified,,62.0,Mexico,,,Diversified,Mexico,,False,U,M,1/1/1961 0:00,Bailleres Gual,Alejandro,,4/4/2023 5:01,,,1961.0,1.0,1.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
344,6900,Diversified,,87.0,United States,,,Diversified,United States,,False,E,F,1/1/1936 0:00,Broad,Edythe,,4/4/2023 5:01,California,West,1936.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
344,6900,Food & Beverage,,89.0,United States,,,Food & Beverage,United States,,False,D,F,1/1/1934 0:00,Keinath,Pauline MacMillan,,4/4/2023 5:01,Missouri,Midwest,1934.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
344,6900,Finance & Investments,,55.0,United States,,,Finance & Investments,United States,,True,U,M,9/16/1967 0:00,Laffont,Philippe,,4/4/2023 5:01,New York,Northeast,1967.0,9.0,16.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
344,6900,Technology,,58.0,China,,,Technology,China,,True,D,M,9/22/1964 0:00,Liu,Jincheng,,4/4/2023 5:01,,,1964.0,9.0,22.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
344,6900,Real Estate,,80.0,United States,,,Real Estate,United States,,True,U,M,9/20/1942 0:00,Olenicoff,Igor,,4/4/2023 5:01,Florida,South,1942.0,9.0,20.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
344,6900,Fashion & Retail,,54.0,Spain,,,Fashion & Retail,Spain,,False,U,F,7/9/1968 0:00,Ortega Mera,Sandra,,4/4/2023 5:01,,,1968.0,7.0,9.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
344,6900,Healthcare,,68.0,United States,,,Healthcare,United States,,False,U,F,5/1/1954 0:00,Stryker,Ronda,,4/4/2023 5:01,Michigan,Midwest,1954.0,5.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Energy,,59.0,United States,,,Energy,United States,,False,U,F,3/9/1964 0:00,Avara,Dannine,,4/4/2023 5:01,Texas,South,1964.0,3.0,9.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Diversified,,86.0,Italy,,,Diversified,Italy,,True,D,M,9/29/1936 0:00,Berlusconi,Silvio,,4/4/2023 5:01,,,1936.0,9.0,29.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
352,6800,Gambling & Casinos,,55.0,United Kingdom,,,Gambling & Casinos,United Kingdom,,True,U,F,9/26/1967 0:00,Coates,Denise,,4/4/2023 5:01,,,1967.0,9.0,26.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
352,6800,Energy,,40.0,United States,,,Energy,United States,,False,U,M,11/1/1982 0:00,Duncan,Scott,,4/4/2023 5:01,Texas,South,1982.0,11.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Energy,,53.0,United States,,,Energy,United States,,False,U,F,8/12/1969 0:00,Frantz,Milane,,4/4/2023 5:01,Texas,South,1969.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Finance & Investments,,58.0,United States,,,Finance & Investments,United States,,False,U,M,11/18/1964 0:00,Johnson,Edward,,4/4/2023 5:01,Massachusetts,Northeast,1964.0,11.0,18.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Finance & Investments,,61.0,United States,,,Finance & Investments,Israel,,True,D,M,11/11/1961 0:00,Milner,Yuri,,4/4/2023 5:01,California,West,1961.0,11.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Technology,,94.0,United States,,,Technology,United States,,True,D,M,1/3/1929 0:00,Moore,Gordon,,4/4/2023 5:01,California,,1929.0,1.0,3.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Finance & Investments,,53.0,United States,,,Finance & Investments,United States,,True,U,M,12/21/1969 0:00,Overdeck,John,,4/4/2023 5:01,New Jersey,Northeast,1969.0,12.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Finance & Investments,,61.0,United States,,,Finance & Investments,United States,,True,U,M,7/15/1961 0:00,Siegel,David,,4/4/2023 5:01,New York,Northeast,1961.0,7.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
352,6800,Diversified,,65.0,Russia,,,Diversified,Russia,,True,U,M,4/14/1957 0:00,Vekselberg,Viktor,,4/4/2023 5:01,,,1957.0,4.0,14.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
352,6800,Technology,,58.0,China,,,Technology,Hong Kong,,True,D,M,12/14/1964 0:00,Wang,Laisheng,,4/4/2023 5:01,,,1964.0,12.0,14.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
352,6800,Energy,,61.0,United States,,,Energy,United States,,False,U,F,8/28/1961 0:00,Williams,Randa Duncan,,4/4/2023 5:01,Texas,South,1961.0,8.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Finance & Investments,,72.0,United States,,,Finance & Investments,United States,,True,U,M,11/29/1950 0:00,Fisher,Ken,,4/4/2023 5:01,Texas,South,1950.0,11.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Finance & Investments,,56.0,United Kingdom,,,Finance & Investments,United Kingdom,,True,D,M,10/27/1966 0:00,Hohn,Christopher,,4/4/2023 5:01,,,1966.0,10.0,27.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
365,6700,Manufacturing,,75.0,Denmark,,,Manufacturing,Denmark,,False,D,M,12/27/1947 0:00,Kristiansen,Kjeld Kirk,,4/4/2023 5:01,,,1947.0,12.0,27.0,110.35,0.8,348078018464.0,80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
365,6700,Manufacturing,,47.0,Denmark,,,Manufacturing,Denmark,,False,D,F,1/1/1976 0:00,Kristiansen,Sofie Kirk,,4/4/2023 5:01,,,1976.0,1.0,1.0,110.35,0.8,348078018464.0,80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
365,6700,Manufacturing,,44.0,Denmark,,,Manufacturing,Denmark,,False,D,M,1/1/1979 0:00,Kristiansen,Thomas Kirk,,4/4/2023 5:01,,,1979.0,1.0,1.0,110.35,0.8,348078018464.0,80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
365,6700,Healthcare,,80.0,Italy,,,Healthcare,Italy,,False,U,F,1/1/1943 0:00,Landini Aleotti,Massimiliana,,4/4/2023 5:01,,,1943.0,1.0,1.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
365,6700,Automotive,,55.0,China,,,Automotive,Hong Kong,,True,D,M,1/1/1968 0:00,Li,Ping,,4/4/2023 5:01,,,1968.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
365,6700,Manufacturing,,60.0,China,,,Manufacturing,China,,True,Split Family Fortune,M,8/1/1962 0:00,Lin,Jianhua,,4/4/2023 5:01,,,1962.0,8.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
365,6700,Manufacturing,,54.0,Switzerland,,,Manufacturing,Switzerland,,False,D,F,1/1/1969 0:00,Martullo-Blocher,Magdalena,,4/4/2023 5:01,,,1969.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
365,6700,Telecom,,55.0,France,,,Telecom,France,,True,D,M,8/25/1967 0:00,Niel,Xavier,,4/4/2023 5:01,,,1967.0,8.0,25.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
365,6700,Energy,,72.0,United States,,,Energy,United States,,True,U,M,3/27/1951 0:00,Pegula,Terrence,,4/4/2023 5:01,Florida,South,1951.0,3.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Real Estate,,84.0,United States,,,Real Estate,United States,,False,U,M,12/25/1938 0:00,Roski,Edward,,4/4/2023 5:01,California,West,1938.0,12.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Real Estate,,83.0,United States,,,Real Estate,United States,,True,U,M,5/23/1939 0:00,Sobrato,John A.,,4/4/2023 5:01,California,West,1939.0,5.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Finance & Investments,,92.0,United States,,,Finance & Investments,United States,,True,D,M,8/12/1930 0:00,Soros,George,,4/4/2023 5:01,New York,Northeast,1930.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Technology,,71.0,United States,,,Technology,United States,,True,U,M,10/12/1951 0:00,Sun,David,,4/4/2023 5:01,California,West,1951.0,10.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Manufacturing,,39.0,Denmark,,,Manufacturing,Denmark,,False,D,F,5/18/1983 0:00,Thinggaard,Agnete Kirk,,4/4/2023 5:01,,,1983.0,5.0,18.0,110.35,0.8,348078018464.0,80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785
365,6700,Technology,,81.0,United States,,,Technology,United States,,True,U,M,8/12/1941 0:00,Tu,John,,4/4/2023 5:01,California,West,1941.0,8.0,12.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
365,6700,Food & Beverage,,65.0,China,,,Food & Beverage,China,,True,D,M,1/1/1958 0:00,Xu,Shihui,,4/4/2023 5:01,,,1958.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
383,6600,Manufacturing,,47.0,Switzerland,,,Manufacturing,Switzerland,,False,D,F,1/1/1976 0:00,Blocher,Rahel,,4/4/2023 5:01,,,1976.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
383,6600,Food & Beverage,,68.0,United States,,,Food & Beverage,United States,,False,U,M,4/22/1954 0:00,Cathy,Bubba,,4/4/2023 5:01,Georgia,South,1954.0,4.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
383,6600,Food & Beverage,,70.0,United States,,,Food & Beverage,United States,,False,U,M,3/1/1953 0:00,Cathy,Dan,,4/4/2023 5:01,Georgia,South,1953.0,3.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
